Agency,Country,Activity Name,Start Year,End Year,Implementer,Description,Link to Website,Pre-Primary,Primary,Secondary,Workforce Development,Education Systems Strengthening
DOL,Ethiopia,She Thrives - Reducing Child Labor in Ethiopia’s Agricultural Sector using a Gender-Focused Approach,2020,2025,CARE,"This activity seeks to build agency of women and girls working in the Ethiopian agricultural sector with families vulnerable to child labor access to technical and life skills, and employment services. Activities include providing evidence-based leadership and life skills curriculum to adolescents vulnerable to child labor; accelerated education programs to assist children and adolescents smooth transitions into formal schooling; entrepreneurship and business skills training; and increased access to Technical and Vocational Education and Training (TVET) and other skills-based training programs.",https://www.dol.gov/agencies/ilab/she-thrives-reducing-child-labor-ethiopias-agricultural-sector-using-gender-focused,FALSE,TRUE,TRUE,TRUE,FALSE
DOL,Madagascar,"Shines project, Reducing Child Labor in Mica-Producing Communities of Madagascar",2022,2025,Pact,"This activity seeks to create childcare support to households working in mica processing centersin Anosy region. In partnership with the Federation of Mica Exporters, the project will build and provide material support to childcare centers built within the processing centers. The effort took place following Pact's identifying that children working in mica present in the processing centers due to the lack of childcare provided to the households.",https://www.dol.gov/agencies/ilab/madagascar-shines-reducing-child-labor-mica-producing-communities-madagascar,TRUE,FALSE,FALSE,FALSE,TRUE
DOL,Mexico,Campos de Esperanza,2016,2024,World Vision,"This activity works to build the capacity of government, employers, workers’ organizations, and civil society actors to address child labor in migrant communities in Mexico.",https://www.dol.gov/agencies/ilab/campos-de-esperanza-fields-hope,FALSE,TRUE,TRUE,TRUE,FALSE
DOL,Mexico,Equal,2019,2024,World Vision,"The project seeks to create multiple tracks to economic empowerment for women and girls—including through education, employment, and entrepreneurship.",https://www.dol.gov/agencies/ilab/equal-equal-access-quality-jobs-women-and-girls-mexico,FALSE,FALSE,FALSE,TRUE,FALSE
Peace Corps,Mexico,TEFL,2021,2027,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,FALSE,TRUE,TRUE,TRUE,TRUE
Peace Corps,Samoa,Rural Primary School Literacy,2022,2024,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,FALSE,TRUE,FALSE,FALSE,TRUE
Peace Corps,Albania,TEFL,2020,2026,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,FALSE,FALSE,TRUE,TRUE,TRUE
Peace Corps,Armenia,TEFL (Certificate),2023,2031,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,FALSE,FALSE,TRUE,TRUE,TRUE
Peace Corps,Benin,TEFL (Certificate),2018,2024,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,FALSE,FALSE,TRUE,TRUE,TRUE
Peace Corps,Cambodia,TEFL,2019,2026,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,FALSE,TRUE,TRUE,TRUE,TRUE
